Detector_type, Descriptor_type, ImgNumber, TTC_Lidar, TTC_Camera
FAST, ORB, 0003, 16.3845, 13.7667
FAST, ORB, 0004, 14.0764, 12.5305
FAST, ORB, 0005, 12.7299, 13.1788
FAST, ORB, 0006, 13.7511, 12.7191
FAST, ORB, 0007, 13.7314, 12.9267
FAST, ORB, 0008, 13.7901, 11.5965
FAST, ORB, 0009, 12.059, 13.2766
FAST, ORB, 0010, 11.8642, 12.5612
FAST, ORB, 0011, 11.9682, 11.7065
FAST, ORB, 0012, 9.88711, 12.3381
FAST, ORB, 0013, 9.42504, 11.8423
FAST, ORB, 0014, 9.30215, 11.4873
FAST, ORB, 0015, 8.3212, 10.8889
FAST, ORB, 0016, 8.89867, 10.9588
FAST, ORB, 0017, 11.0301, 8.85564
FAST, ORB, 0018, 8.53557, 11.6293

FAST, FREAK, 0000, 
FAST, FREAK, 0001, 12.2891, 12.9991
FAST, FREAK, 0002, 13.3547, 12.093
FAST, FREAK, 0003, 16.3845, 14.6114
FAST, FREAK, 0004, 14.0764, 13.2747
FAST, FREAK, 0005, 12.7299, 12.7571
FAST, FREAK, 0006, 13.7511, 11.5572
FAST, FREAK, 0007, 13.7314, 13.0069
FAST, FREAK, 0008, 13.7901, 12.4742
FAST, FREAK, 0009, 12.059, 12.2995
FAST, FREAK, 0010, 11.8642, 12.7188
FAST, FREAK, 0011, 11.9682, 12.2277
FAST, FREAK, 0012, 9.88711, 11.7492
FAST, FREAK, 0013, 9.42504, 11.8251
FAST, FREAK, 0014, 9.30215, 11.6048
FAST, FREAK, 0015, 8.3212, 10.1464
FAST, FREAK, 0016, 8.89867, 10.6085
FAST, FREAK, 0017, 11.0301, 9.88916
FAST, FREAK, 0018, 8.53557, 10.8713

BRISK, BRISK, 0000, 
BRISK, BRISK, 0001, 12.2891, 12.8659
BRISK, BRISK, 0002, 13.3547, 16.5957
BRISK, BRISK, 0003, 16.3845, 12.7803
BRISK, BRISK, 0004, 14.0764, 14.8405
BRISK, BRISK, 0005, 12.7299, 28.6365
BRISK, BRISK, 0006, 13.7511, 17.8323
BRISK, BRISK, 0007, 13.7314, 15.5593
BRISK, BRISK, 0008, 13.7901, 15.9199
BRISK, BRISK, 0009, 12.059, 13.9678
BRISK, BRISK, 0010, 11.8642, 10.6552
BRISK, BRISK, 0011, 11.9682, 12.1394
BRISK, BRISK, 0012, 9.88711, 11.1097
BRISK, BRISK, 0013, 9.42504, 11.5717
BRISK, BRISK, 0014, 9.30215, 12.4212
BRISK, BRISK, 0015, 8.3212, 12.4717
BRISK, BRISK, 0016, 8.89867, 10.9329
BRISK, BRISK, 0017, 11.0301, 10.3503
BRISK, BRISK, 0018, 8.53557, 12.3517

BRISK, BRIEF, 0000, 
BRISK, BRIEF, 0001, 12.2891, 10.1889
BRISK, BRIEF, 0002, 13.3547, 16.1327
BRISK, BRIEF, 0003, 16.3845, 11.5662
BRISK, BRIEF, 0004, 14.0764, 17.8398
BRISK, BRIEF, 0005, 12.7299, 20.4757
BRISK, BRIEF, 0006, 13.7511, 20.6042
BRISK, BRIEF, 0007, 13.7314, 14.0882
BRISK, BRIEF, 0008, 13.7901, 19.1151
BRISK, BRIEF, 0009, 12.059, 14.6993
BRISK, BRIEF, 0010, 11.8642, 10.1762
BRISK, BRIEF, 0011, 11.9682, 11.6251
BRISK, BRIEF, 0012, 9.88711, 12.6855
BRISK, BRIEF, 0013, 9.42504, 11.5071
BRISK, BRIEF, 0014, 9.30215, 10.7809
BRISK, BRIEF, 0015, 8.3212, 10.6437
BRISK, BRIEF, 0016, 8.89867, 11.7206
BRISK, BRIEF, 0017, 11.0301, 10.7937
BRISK, BRIEF, 0018, 8.53557, 9.96394

BRISK, ORB, 0000, 
BRISK, ORB, 0001, 12.2891, 11.7327
BRISK, ORB, 0002, 13.3547, 15.829
BRISK, ORB, 0003, 16.3845, 14.2885
BRISK, ORB, 0004, 14.0764, 17.1298
BRISK, ORB, 0005, 12.7299, 23.8766
BRISK, ORB, 0006, 13.7511, 19.9254
BRISK, ORB, 0007, 13.7314, 12.1339
BRISK, ORB, 0008, 13.7901, 16.622
BRISK, ORB, 0009, 12.059, 15.1317
BRISK, ORB, 0010, 11.8642, 11.255
BRISK, ORB, 0011, 11.9682, 13.4938
BRISK, ORB, 0012, 9.88711, 11.7882
BRISK, ORB, 0013, 9.42504, 11.6125
BRISK, ORB, 0014, 9.30215, 12.2443
BRISK, ORB, 0015, 8.3212, 10.8762
BRISK, ORB, 0016, 8.89867, 10.8778
BRISK, ORB, 0017, 11.0301, 8.62274
BRISK, ORB, 0018, 8.53557, 11.6691

BRISK, FREAK, 0000, 
BRISK, FREAK, 0001, 12.2891, 11.2939
BRISK, FREAK, 0002, 13.3547, 19.6872
BRISK, FREAK, 0003, 16.3845, 12.2048
BRISK, FREAK, 0004, 14.0764, 14.8405
BRISK, FREAK, 0005, 12.7299, 19.9198
BRISK, FREAK, 0006, 13.7511, 23.0077
BRISK, FREAK, 0007, 13.7314, 12.0534
BRISK, FREAK, 0008, 13.7901, 15.3088
BRISK, FREAK, 0009, 12.059, 17.9749
BRISK, FREAK, 0010, 11.8642, 12.7661
BRISK, FREAK, 0011, 11.9682, 12.5041
BRISK, FREAK, 0012, 9.88711, 10.8801
BRISK, FREAK, 0013, 9.42504, 11.9619
BRISK, FREAK, 0014, 9.30215, 12.2145
BRISK, FREAK, 0015, 8.3212, 14.4302
BRISK, FREAK, 0016, 8.89867, 9.97331
BRISK, FREAK, 0017, 11.0301, 9.35263
BRISK, FREAK, 0018, 8.53557, 11.5113

ORB, BRISK, 0000, 
ORB, BRISK, 0001, 12.2891, 10.676
ORB, BRISK, 0002, 13.3547, 13.5068
ORB, BRISK, 0003, 16.3845, 11.2793
ORB, BRISK, 0004, 14.0764, 16.4892
ORB, BRISK, 0005, 12.7299, 41.3827
ORB, BRISK, 0006, 13.7511, 10.0536
ORB, BRISK, 0007, 13.7314, 27.9717
ORB, BRISK, 0008, 13.7901, 10.6652
ORB, BRISK, 0009, 12.059, 12.0094
ORB, BRISK, 0010, 11.8642, 11.0419
ORB, BRISK, 0011, 11.9682, 7.40879
ORB, BRISK, 0012, 9.88711, -inf
ORB, BRISK, 0013, 9.42504, 13.7328
ORB, BRISK, 0014, 9.30215, 11.4171
ORB, BRISK, 0015, 8.3212, 24.6352
ORB, BRISK, 0016, 8.89867, 17.1962
ORB, BRISK, 0017, 11.0301, 20.3351
ORB, BRISK, 0018, 8.53557, 55.2418

ORB, BRIEF, 0000, 
ORB, BRIEF, 0001, 12.2891, 12.2865
ORB, BRIEF, 0002, 13.3547, 14.042
ORB, BRIEF, 0003, 16.3845, 19.9017
ORB, BRIEF, 0004, 14.0764, 15.639
ORB, BRIEF, 0005, 12.7299, 22.3972
ORB, BRIEF, 0006, 13.7511, 16.1922
ORB, BRIEF, 0007, 13.7314, 19.3349
ORB, BRIEF, 0008, 13.7901, 128.473
ORB, BRIEF, 0009, 12.059, 39.376
ORB, BRIEF, 0010, 11.8642, 11.0882
ORB, BRIEF, 0011, 11.9682, 10.0798
ORB, BRIEF, 0012, 9.88711, 20.1675
ORB, BRIEF, 0013, 9.42504, 12.8245
ORB, BRIEF, 0014, 9.30215, 8.59638
ORB, BRIEF, 0015, 8.3212, 18.5571
ORB, BRIEF, 0016, 8.89867, 10.9511
ORB, BRIEF, 0017, 11.0301, 8.7295
ORB, BRIEF, 0018, 8.53557, 19.7783

ORB, ORB, 0000, 
ORB, ORB, 0001, 12.2891, 19.0873
ORB, ORB, 0002, 13.3547, -inf
ORB, ORB, 0003, 16.3845, 21.8644
ORB, ORB, 0004, 14.0764, 25.1199
ORB, ORB, 0005, 12.7299, 22.1464
ORB, ORB, 0006, 13.7511, -inf
ORB, ORB, 0007, 13.7314, -inf
ORB, ORB, 0008, 13.7901, 10.9391
ORB, ORB, 0009, 12.059, -inf
ORB, ORB, 0010, 11.8642, 10.4209
ORB, ORB, 0011, 11.9682, 9.12813
ORB, ORB, 0012, 9.88711, -inf
ORB, ORB, 0013, 9.42504, 12.8562
ORB, ORB, 0014, 9.30215, 13.6273
ORB, ORB, 0015, 8.3212, -inf
ORB, ORB, 0016, 8.89867, 10.2191
ORB, ORB, 0017, 11.0301, 14.4347
ORB, ORB, 0018, 8.53557, 34.4586

ORB, FREAK, 0000, 
ORB, FREAK, 0001, 12.2891, 12.2074
ORB, FREAK, 0002, 13.3547, 11.1048
ORB, FREAK, 0003, 16.3845, 11.3288
ORB, FREAK, 0004, 14.0764, 12.5761
ORB, FREAK, 0005, 12.7299, 743.244
ORB, FREAK, 0006, 13.7511, 65.7468
ORB, FREAK, 0007, 13.7314, -inf
ORB, FREAK, 0008, 13.7901, 12.6809
ORB, FREAK, 0009, 12.059, 30.3425
ORB, FREAK, 0010, 11.8642, 24.4419
ORB, FREAK, 0011, 11.9682, 8.12118
ORB, FREAK, 0012, 9.88711, 8.31342
ORB, FREAK, 0013, 9.42504, 8.36293
ORB, FREAK, 0014, 9.30215, 9.3101
ORB, FREAK, 0015, 8.3212, 8.12918
ORB, FREAK, 0016, 8.89867, 7.76548
ORB, FREAK, 0017, 11.0301, 11.3219
ORB, FREAK, 0018, 8.53557, 24.1855

AKAZE, BRISK, 0000, 
AKAZE, BRISK, 0001, 12.2891, 11.8455
AKAZE, BRISK, 0002, 13.3547, 13.1113
AKAZE, BRISK, 0003, 16.3845, 13.0918
AKAZE, BRISK, 0004, 14.0764, 13.3027
AKAZE, BRISK, 0005, 12.7299, 13.1974
AKAZE, BRISK, 0006, 13.7511, 12.6651
AKAZE, BRISK, 0007, 13.7314, 15.6477
AKAZE, BRISK, 0008, 13.7901, 13.6024
AKAZE, BRISK, 0009, 12.059, 14.1673
AKAZE, BRISK, 0010, 11.8642, 12.435
AKAZE, BRISK, 0011, 11.9682, 12.0939
AKAZE, BRISK, 0012, 9.88711, 10.3743
AKAZE, BRISK, 0013, 9.42504, 10.4123
AKAZE, BRISK, 0014, 9.30215, 9.70457
AKAZE, BRISK, 0015, 8.3212, 9.48155
AKAZE, BRISK, 0016, 8.89867, 10.0682
AKAZE, BRISK, 0017, 11.0301, 8.69653
AKAZE, BRISK, 0018, 8.53557, 8.67077

